STORE NAME,STORE NUMBER,DATE,AMOUNTS PAID,PAYMENT METHOD,PURCHASE TYPE,STATE
BIG LOTS,316,10/8/2022,$14.76 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,12/26/2022,$6.00 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,1/23/2023,$52.30 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,12/21/2022,$1.06 ,CASH,KITCHEN SUPPLY,KENTUCKY
DOLLAR General,15064,12/4/2022,$4.25 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,12/29/2022,$17.95 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,10/30/2022,$30.35 ,CASH,KITCHEN SUPPLY,KENTUCKY
DOLLAR General,15064,10/26/2022,$5.30 ,CASH,MEDICINE,KENTUCKY
DOLLAR General,15064,9/27/2022,$1.85 ,CASH,FOOD,KENTUCKY
DOLLAR General,15064,10/22/2022,$24.18 ,CASH,KIDS SUPPLY,KENTUCKY
DOLLAR General,15064,10/21/2022,$2.12 ,CASH,HOUSE SUPPLY,KENTUCKY
DOLLAR General,15064,1/19/2023,$11.45 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,2/17/2023,$67.75 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,1/19/2023,$3.00 ,EBT,FOOD,KENTUCKY
DOLLAR General,2840,2/2/2023,$1.82 ,EBT,FOOD,KENTUCKY
DOLLAR General,2840,2/2/2023,$0.25 ,CASH,FOOD,KENTUCKY
DOLLAR General,15064,1/11/2023,$46.99 ,CASH,FOOD,KENTUCKY
DOLLAR General,15064,2/2/2023,$6.00 ,CASH,HOUSE SUPPLY,KENTUCKY
DOLLAR General,15064,1/10/2022,$10.10 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,10/16/2022,$8.22 ,CASH,MOM SUPPLY,KENTUCKY
DOLLAR General,15064,10/30/2022,$3.70 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,10/30/2022,$14.47 ,CASH,HOUSE SUPPLY,KENTUCKY
DOLLAR General,15064,10/30/2022,$7.05 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,10/2/2022,$4.35 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,10/2/2022,$1.10 ,CASH,HOUSE SUPPLY,KENTUCKY
DOLLAR General,15064,1/21/2023,$128.70 ,EBT,FOOD,KENTUCKY
DOLLAR General,15064,1/11/2023,$7.25 ,CASH,FOOD,KENTUCKY
DOLLAR TREE,5648,11/16/2022,$13.25 ,CASH,KITCHEN SUPPLY,KENTUCKY
DOLLAR TREE,5648,10/21/2022,$15.87 ,CASH,GIFT KATLIN,KENTUCKY
DOLLAR TREE,5648,11/19/2022,$14.14 ,CASH,HOUSE SUPPLY,KENTUCKY
DOLLAR TREE,5648,11/19/2022,$5.00 ,EBT,FOOD,KENTUCKY
DOUBLE KWIK,2076,8/29/2022,$10.00 ,CASH,gaS,KENTUCKY
FAMILY DOLLAR,3264,11/29/2022,$8.75 ,EBT,FOOD,KENTUCKY
FOOD CITY,424,12/2/2022,$51.29 ,EBT,FOOD,KENTUCKY
FOOD CITY,424,2/17/2023,$65.97 ,EBT,FOOD,KENTUCKY
GOOD WILL,63294,10/21/2022,$13.16 ,CASH,APPERAL,KENTUCKY
GULF FRANKLIN,205538,1/19/2023,$5.43 ,CASH,CIGARETTES,LOUISIANA
HIBBETTS,1118,11/25/2022,$31.80 ,CASH,APPERAL,KENTUCKY
HIBBETTS,1118,11/25/2022,$135.62 ,CASH,APPERAL,KENTUCKY
LOWES,1797,1/13/2023,$15.24 ,CASH,HOUSE SUPPLY,KENTUCKY
LOWES,1797,11/2/2022,$12.08 ,CASH,HOUSE SUPPLY,KENTUCKY
LOWES,1797,11/23/2022,$17.14 ,CASH,HOUSE SUPPLY,KENTUCKY
MARTIN TABACCO,16,8/13/2022,$5.34 ,CASH,CIGARETTES,KENTUCKY
MC DONALDS,5011,8/12/2022,$15.23 ,CASH,FOOD,KENTUCKY
MONEY GRAM,1233,11/7/2022,$54.00 ,CASH,WIRE TO RAY,KENTUCKY
MONEY GRAM,1233,10/12/2022,$45.00 ,CASH,WIRE TO RAY,KENTUCKY
SAVE ALOT,23488,11/29/2022,$23.10 ,EBT,FOOD,KENTUCKY
SAVE ALOT,23488,2/2/2023,$45.30 ,EBT,FOOD,KENTUCKY
SIMONEADS,139,1/17/2023,$29.09 ,CASH,LIQUOR,LOUISIANA
SPEEDWAY,9538,1/13/2023,$85.00 ,CASH,GAS,KENTUCKY
THE MOBILE,205520,1/17/2023,$62.02 ,CASH,GAS,LOUISIANA
VIP FUEL,131987,1/19/2022,$21.29 ,CASH,CIGARETTES,KENTUCKY
VIP FUEL,131987,1/12/2023,$20.00 ,CASH,GAS,KENTUCKY
VIP FUEL,131987,1/12/2023,$4.23 ,CASH,CIGARETTES,KENTUCKY
VIP FUEL,2,1/21/2023,$10.00 ,CASH,gaS,KENTUCKY
VIP FUEL,2,1/21/2023,$4.23 ,CASH,CIGARETTES,KENTUCKY
WALMART,1233,11/9/2022,$17.96 ,CASH,FOOD,KENTUCKY
WALMART,1233,10/19/2022,$23.20 ,EBT,FOOD,KENTUCKY
WALMART,1233,10/21/2022,$24.35 ,CASH,SIR TOYS,KENTUCKY
WALMART,1233,1/5/2023,$30.35 ,EBT,FOOD,KENTUCKY
WALMART,1233,10/21/2022,$96.96 ,CASH,APPERAL,KENTUCKY
WALMART,1233,10/17/2022,$33.47 ,CASH,APPERAL,KENTUCKY
WALMART,1233,10/12/2022,$35.54 ,EBT,FOOD,KENTUCKY
WALMART,1233,10/24/2022,$25.38 ,EBT,FOOD,KENTUCKY
WALMART,1233,10/24/2022,$20.00 ,CASH,APPERAL,KENTUCKY
WALMART,1233,10/16/2022,$365.54 ,EBT,FOOD,KENTUCKY
WALMART,1233,10/16/2022,$47.42 ,CASH,KITCHEN SUPPLY,KENTUCKY
WALMART,1233,2/17/2023,$157.48 ,EBT,FOOD,KENTUCKY
WALMART,1233,2/17/2023,$3.48 ,EBT,FOOD,KENTUCKY
WALMART,1233,10/26/2022,$67.94 ,EBT,FOOD,KENTUCKY
WALMART,1233,10/26/2022,$13.79 ,CASH,HOUSE SUPPLY,KENTUCKY
WALMART,1233,11/18/2022,$76.96 ,EBT,FOOD,KENTUCKY
WALMART,1233,11/18/2022,$11.05 ,CASH,HOUSE SUPPLY,KENTUCKY
WALMART,696,9/12/2022,$44.00 ,CASH,WIRE TO RAY,KENTUCKY
WALMART,1233,11/25/2022,$120.56 ,CASH,HOUSE SUPPLY,KENTUCKY
WALMART,1233,11/19/2022,$9.25 ,EBT,FOOD,KENTUCKY
WALMART,1233,11/19/2022,$12.48 ,CASH,APPERAL,KENTUCKY
WALMART,1233,10/12/2022,$49.00 ,CASH,WIRE TO RAY,KENTUCKY
WALMART,3894,9/12/2022,$10.21 ,CASH,FOOD,KENTUCKY
WALMART,1233,11/19/2022,$49.35 ,CASH,HOUSE SUPPLY,KENTUCKY
WENDY'S,11341,1/12/2023,$32.75 ,CASH,FOOD,KENTUCKY
